station,gear,skate_or_pot_unique_id,skate_or_pot_number,n_sablefish
Day 3,Slinky pots,Day 3_108_191,191,11
Day 3,Slinky pots,Day 3_108_192,192,7
Day 3,Slinky pots,Day 3_108_193,193,8
Day 3,Slinky pots,Day 3_108_194,194,5
Day 3,Slinky pots,Day 3_108_195,195,16
Day 3,Slinky pots,Day 3_108_196,196,13
Day 3,Slinky pots,Day 3_108_197,197,7
Day 3,Slinky pots,Day 3_108_199,199,9
Day 3,Slinky pots,Day 3_108_200,200,11
Day 3,Slinky pots,Day 3_108_201,201,7
Day 3,Slinky pots,Day 3_108_202,202,15
Day 3,Slinky pots,Day 3_108_204,204,1
Day 3,Slinky pots,Day 3_108_205,205,6
Day 3,Slinky pots,Day 3_108_206,206,12
Day 3,Slinky pots,Day 3_108_207,207,8
Day 3,Slinky pots,Day 3_108_209,209,8
Day 3,Slinky pots,Day 3_108_91,91,18
Day 3,Slinky pots,Day 3_108_92,92,12
Day 3,Slinky pots,Day 3_108_93,93,12
Day 3,Slinky pots,Day 3_108_94,94,0
Day 3,Slinky pots,Day 3_108_95,95,4
Day 3,Slinky pots,Day 3_108_96,96,6
Day 3,Slinky pots,Day 3_108_98,98,6
Day 3,Slinky pots,Day 3_108_99,99,2
